label	text
37	brain fluid buildup delay giffords rehab
14	trailer talk week movie rite mechanic week opportunity
100	rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl
110	gbagbo camp futile cut ivory coast economy
61	chinese president lost translation powerful leader meet expect tran
60	england fishing community current management system broken edf
79	protest reform start yemen hundred anti government protester gathered sanaa
83	stuxnet lead chernobyl russian
81	iphone share smartphones phone
67	uploaded youtube video nba final lakers celtic game memory highlig
99	feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe
95	naughty facebook started sharing personal detail site day turn fb
99	super bowl commercial
72	bruce will fave kardashian lol
66	attack journalist escalate egypt
30	keith olbermann join current tv report
75	opinion christina sounded amazing super bowl america making big deal
96	sundance day strange celebrity encounter steve carell elijah wood full day sundanc
55	acai berry supplement weight loss associated content heard oprah win
101	finished watching black swan twisted mental strain take embrace role natalie portman incredible
21	hot air breaking rahm ballot tcot lt state totally corrupt
68	charlie sheen abuse
99	music featured motorola xoom super bowl commercial
14	rite movie review fan movie deal battle good evil
106	potential replacement steve job
79	yemen president signal won stay freedomwar egypt jan syria feb
74	debt settlement lawyer debt settlement easier lawyer day debt settlement beco
75	aguilera repeat national anthem ap ap christina aguilera flubbed belted
66	skipped romanian crew journalist threatened attacked detained reporting egypt
55	loss weight acai berry capsule benefit
45	pew internet online american social networking twitter politics campaign internet
60	tbf flw outdooors introduce national high school fishing program national high school fishing program
25	fucking awesome jesse jesse ventura slam tsa lawsuit
88	king speech awarded best ensemble cast screen actor guild award
60	charge fee saltwater fishing license
46	bottega veneta teal turquoise knot intrecciato snakeskin clutch
87	baked slow cooker chicken crockpotrecipes
17	fake snow storm white stripe officially call quits
99	chrysler air super bowl commercial
97	kid set college time fill fafsa
75	funny happened aguilera repeat national anthem yahoo news
88	hollywood director honor king speech reuters
87	kung pao chicken recipe
37	giffords rocky road recovery health news
99	complete list super bowl commercial advertiser youtube
103	senator avoiding tea party caucus
99	watch volkswagen superbowl commercial youtube ad blitz channel escarabaajoos
82	washington legislature wade immigration debate oregonlive summary requires employe verify
62	te boozing news starbucks huge trenta cup hold entire bottle wine
44	carney obama press secretary
72	kardashians pier morgan stupid answer question perfect
56	chavez mark year office venezuelan president hugo chavez mark year power promising press
14	rite safe horror film devil time plain dealer
80	chipotle fire hundred immigration raid immigration probe forced mexican chain chipotle fire
99	beetle commercial creative superbowl great teaser
79	yemen thousand protest government worldnomads travelsafety
22	going amazing constitutional showdown reach supreme court
60	aquarium fish aquarium success good common sense will fir
89	justice extend protection workplace retaliation supreme court ruled employer sued
44	white house press secretary jay carney
88	oscar reaction guess king speech
95	cnn hack facebook unlocks security facebook adding security feature pa
84	nfl concussion people survey wix jsquared concussion
57	national guard called chicago snow storm woow snow chill people
77	loooooooooooove ncis
55	weight loss diet plan acai juice equal nutritional claim acai
64	traffic depot update oceanside green light red light camera ticket traffic
75	christina aguilera mess national anthem start super bowl xlv
99	definitely forward superbowl commercial year esp steve martin cameo
55	acai berry diet succeed hoodia gordonii site acai berry cultivated acai palm
56	hugo chavez apologizes venezuelan people ahead election
60	fishing news banner website
30	keith olbermann join current tv report keith olbermann controversial liberal pundit ho
21	chicago rahm emanuel ballot
62	tanning iced coffee tazo iced tea hello trenta
72	watching kourtney kim khloe loving waiting forever
86	vincent tabak appears court charged murder
87	casserole recipe bruschetta chicken bake submitted heather simple creative chicken meal mimic
75	honor epic fail national anthem top ten list time worst
60	info topic fish tank heater aquarium stuff technorati tag aquarium heater aquariu
87	grilled chicken tomato salad
109	today read concerned gasland movie stand set record straight
88	king speech top film producer award ap ap king speech claimed crown be
88	sag prediction award tracker hmmmm
99	kia spent lot money optimum superbowl commercial
99	doritos commercial raising dead best night superbowl nfl
73	idf intelligence chief iran nuclear bomb year haaretz
77	yeah don csis nciss enjoy mentalist
11	uk robert kubica injured rally accident italian polish medium
88	breaking news king speech take top honor hollywood actor honor best sunday night annual screen ac
22	obamacare reagan appointed federal district judge florida ruled key portion obama
79	st tunisia egypt yemen
99	best superbowl commercial year chrysler comeback
66	horrible journalist attacked detained egypt yahoo news
66	list journalist hurt harassed egypt
95	famous facebook flip flop social networking goliath number hasty move year
66	yikes list journalist attacked egypt hour abc news
65	lady press ahead fitness campaign daily caller obama tell abc good morning america
22	judge rule obama health care law
75	watch christina aguilera screw national anthem super bowl post
55	acai berry powder content health weight loss hard figure
95	facebook privacy setting user
20	taco bell beef convenience cost
38	jordan thousand protest demand pm step wave mass protest arab spread opposition supporter
60	yap palau sport fishing promotional sport fishing video produced video rating
89	court third party bias protection broad washington jan upi supreme court ruled unanimously
60	yell cast jr hartley ad digital era author search fly fishing book dj hunt book read
60	boatsshopping fishing headline oklahoma metro trout fishing pond instructional clinic pave exciting winter angling html
60	three ton striped bass seized illegal fishing net
22	federal judge strike health care reform call insurance purchase mandate aba journal
72	love khloe kardashian
88	fighter king speech lead nominee tonight sag award beverly hill courier
75	check video christina aguilera super bowl national anthem mistake mess err
71	murray djokovic happened
110	pressure grows myanmar sanction call growing western sanction myanmar
45	poll gop catch dems social medium
12	nobel war prize wikileaks nuke fired cablegate wikileaks assange anonymous
51	bbc news police lose officer
99	lololol doritos pepsi max killing superbowl commercial
22	federal judge healthcare law
88	king speech notch top director award movie running darren aronofsky
87	yummy recipe tuesday chicken fricasse
55	secret natural weight loss food acai berry benefit
32	job wrong place memo president dear president state union add
26	employment gaining speed jobless rate
